"Type of data","Self-estimated health","Sex","Age group","Year","Self-estimated health"
"Weighted","Good or reasonably good","Men","55-64","1992",14.8
"Weighted","Good or reasonably good","Men","55-64","1994",17.0
"Weighted","Good or reasonably good","Men","55-64","1996",13.9
"Weighted","Good or reasonably good","Men","55-64","1998",14.0
"Weighted","Good or reasonably good","Men","55-64","2000",16.5
"Weighted","Good or reasonably good","Men","55-64","2002",19.9
"Weighted","Good or reasonably good","Men","55-64","2004",14.8
"Weighted","Good or reasonably good","Men","55-64","2006",21.0
"Weighted","Good or reasonably good","Men","55-64","2008",19.2
"Weighted","Good or reasonably good","Men","55-64","2010",20.9
"Weighted","Good or reasonably good","Men","55-64","2012",23.3
"Weighted","Good or reasonably good","Men","55-64","2014",23.3
"Weighted","Good or reasonably good","Men","55-64","2016",24.5
"Weighted","Good or reasonably good","Men","55-64","2018",30.5
"Weighted","Good or reasonably good","Men","55-64","2020",26.7
"Weighted","Good or reasonably good","Men","55-64","2022",37.0
"Weighted","Good or reasonably good","Men","55-64","2024",38.4
"Weighted","Good or reasonably good","Women","All age groups (16-64)","1990",25.8
"Weighted","Good or reasonably good","Women","All age groups (16-64)","1992",29.3
"Weighted","Good or reasonably good","Women","All age groups (16-64)","1994",30.2
"Weighted","Good or reasonably good","Women","All age groups (16-64)","1996",33.4
"Weighted","Good or reasonably good","Women","All age groups (16-64)","1998",34.3
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2000",36.5
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2002",39.6
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2004",42.6
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2006",46.6
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2008",52.9
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2010",51.0
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2012",55.6
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2014",54.6
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2016",56.5
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2018",52.3
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2020",60.4
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2022",60.0
"Weighted","Good or reasonably good","Women","All age groups (16-64)","2024",55.9
"Weighted","Good or reasonably good","Women","16-24","1990",54.3
"Weighted","Good or reasonably good","Women","16-24","1992",56.9
"Weighted","Good or reasonably good","Women","16-24","1994",47.1
"Weighted","Good or reasonably good","Women","16-24","1996",55.4
"Weighted","Good or reasonably good","Women","16-24","1998",61.8
"Weighted","Good or reasonably good","Women","16-24","2000",58.6
"Weighted","Good or reasonably good","Women","16-24","2002",64.8
"Weighted","Good or reasonably good","Women","16-24","2004",62.8
"Weighted","Good or reasonably good","Women","16-24","2006",63.3
"Weighted","Good or reasonably good","Women","16-24","2008",75.6
"Weighted","Good or reasonably good","Women","16-24","2010",72.4
"Weighted","Good or reasonably good","Women","16-24","2012",71.3
"Weighted","Good or reasonably good","Women","16-24","2014",75.5
"Weighted","Good or reasonably good","Women","16-24","2016",69.9
"Weighted","Good or reasonably good","Women","16-24","2018",65.9
"Weighted","Good or reasonably good","Women","16-24","2020",69.9
"Weighted","Good or reasonably good","Women","16-24","2022",71.7
"Weighted","Good or reasonably good","Women","16-24","2024",61.0
"Weighted","Good or reasonably good","Women","25-34","1990",30.9
"Weighted","Good or reasonably good","Women","25-34","1992",35.6
"Weighted","Good or reasonably good","Women","25-34","1994",44.0
"Weighted","Good or reasonably good","Women","25-34","1996",43.9
"Weighted","Good or reasonably good","Women","25-34","1998",46.0
"Weighted","Good or reasonably good","Women","25-34","2000",48.1
"Weighted","Good or reasonably good","Women","25-34","2002",50.4
"Weighted","Good or reasonably good","Women","25-34","2004",64.1
"Weighted","Good or reasonably good","Women","25-34","2006",65.9
"Weighted","Good or reasonably good","Women","25-34","2008",71.8
"Weighted","Good or reasonably good","Women","25-34","2010",69.1
"Weighted","Good or reasonably good","Women","25-34","2012",72.0
"Weighted","Good or reasonably good","Women","25-34","2014",73.6
"Weighted","Good or reasonably good","Women","25-34","2016",70.6
"Weighted","Good or reasonably good","Women","25-34","2018",65.9
"Weighted","Good or reasonably good","Women","25-34","2020",73.8
"Weighted","Good or reasonably good","Women","25-34","2022",74.2
"Weighted","Good or reasonably good","Women","25-34","2024",70.1
"Weighted","Good or reasonably good","Women","35-44","1990",25.2
"Weighted","Good or reasonably good","Women","35-44","1992",30.6
"Weighted","Good or reasonably good","Women","35-44","1994",33.0
"Weighted","Good or reasonably good","Women","35-44","1996",29.5
"Weighted","Good or reasonably good","Women","35-44","1998",31.0
"Weighted","Good or reasonably good","Women","35-44","2000",38.0
"Weighted","Good or reasonably good","Women","35-44","2002",40.4
"Weighted","Good or reasonably good","Women","35-44","2004",41.6
"Weighted","Good or reasonably good","Women","35-44","2006",50.3
"Weighted","Good or reasonably good","Women","35-44","2008",58.4
"Weighted","Good or reasonably good","Women","35-44","2010",55.1
"Weighted","Good or reasonably good","Women","35-44","2012",64.6
"Weighted","Good or reasonably good","Women","35-44","2014",59.8
"Weighted","Good or reasonably good","Women","35-44","2016",66.8
"Weighted","Good or reasonably good","Women","35-44","2018",56.7
"Weighted","Good or reasonably good","Women","35-44","2020",69.0
"Weighted","Good or reasonably good","Women","35-44","2022",65.8
"Weighted","Good or reasonably good","Women","35-44","2024",62.0
"Weighted","Good or reasonably good","Women","45-54","1990",13.5
"Weighted","Good or reasonably good","Women","45-54","1992",14.1
"Weighted","Good or reasonably good","Women","45-54","1994",13.8
"Weighted","Good or reasonably good","Women","45-54","1996",23.3
"Weighted","Good or reasonably good","Women","45-54","1998",24.5
"Weighted","Good or reasonably good","Women","45-54","2000",26.6
"Weighted","Good or reasonably good","Women","45-54","2002",28.3
"Weighted","Good or reasonably good","Women","45-54","2004",28.4
"Weighted","Good or reasonably good","Women","45-54","2006",30.8
"Weighted","Good or reasonably good","Women","45-54","2008",37.0
"Weighted","Good or reasonably good","Women","45-54","2010",37.3
"Weighted","Good or reasonably good","Women","45-54","2012",46.7
"Weighted","Good or reasonably good","Women","45-54","2014",44.3
"Weighted","Good or reasonably good","Women","45-54","2016",47.1
"Weighted","Good or reasonably good","Women","45-54","2018",44.3
"Weighted","Good or reasonably good","Women","45-54","2020",56.5
"Weighted","Good or reasonably good","Women","45-54","2022",53.3
"Weighted","Good or reasonably good","Women","45-54","2024",52.8
"Weighted","Good or reasonably good","Women","55-64","1990",12.3
"Weighted","Good or reasonably good","Women","55-64","1992",9.4
"Weighted","Good or reasonably good","Women","55-64","1994",12.8
"Weighted","Good or reasonably good","Women","55-64","1996",17.0
"Weighted","Good or reasonably good","Women","55-64","1998",11.5
"Weighted","Good or reasonably good","Women","55-64","2000",12.6
"Weighted","Good or reasonably good","Women","55-64","2002",14.9
"Weighted","Good or reasonably good","Women","55-64","2004",16.1
"Weighted","Good or reasonably good","Women","55-64","2006",23.3
"Weighted","Good or reasonably good","Women","55-64","2008",22.4
"Weighted","Good or reasonably good","Women","55-64","2010",24.3
"Weighted","Good or reasonably good","Women","55-64","2012",27.9
"Weighted","Good or reasonably good","Women","55-64","2014",26.7
"Weighted","Good or reasonably good","Women","55-64","2016",32.9
"Weighted","Good or reasonably good","Women","55-64","2018",34.7
"Weighted","Good or reasonably good","Women","55-64","2020",37.8
"Weighted","Good or reasonably good","Women","55-64","2022",40.8
"Weighted","Good or reasonably good","Women","55-64","2024",35.7
"Weighted","Average","Men and women","All age groups (16-64)","1990",62.0
"Weighted","Average","Men and women","All age groups (16-64)","1992",59.1
"Weighted","Average","Men and women","All age groups (16-64)","1994",57.9
"Weighted","Average","Men and women","All age groups (16-64)","1996",53.8
"Weighted","Average","Men and women","All age groups (16-64)","1998",54.4
"Weighted","Average","Men and women","All age groups (16-64)","2000",51.4
"Weighted","Average","Men and women","All age groups (16-64)","2002",48.2
"Weighted","Average","Men and women","All age groups (16-64)","2004",46.1
"Weighted","Average","Men and women","All age groups (16-64)","2006",43.8
"Weighted","Average","Men and women","All age groups (16-64)","2008",40.1
"Weighted","Average","Men and women","All age groups (16-64)","2010",41.1
"Weighted","Average","Men and women","All age groups (16-64)","2012",37.8
"Weighted","Average","Men and women","All age groups (16-64)","2014",36.8
"Weighted","Average","Men and women","All age groups (16-64)","2016",37.1
"Weighted","Average","Men and women","All age groups (16-64)","2018",40.1
"Weighted","Average","Men and women","All age groups (16-64)","2020",32.7
"Weighted","Average","Men and women","All age groups (16-64)","2022",32.3
"Weighted","Average","Men and women","All age groups (16-64)","2024",34.3
"Weighted","Average","Men and women","16-24","1990",47.6
"Weighted","Average","Men and women","16-24","1992",35.8
"Weighted","Average","Men and women","16-24","1994",43.7
"Weighted","Average","Men and women","16-24","1996",34.8
"Weighted","Average","Men and women","16-24","1998",36.7
"Weighted","Average","Men and women","16-24","2000",30.9
"Weighted","Average","Men and women","16-24","2002",31.5
"Weighted","Average","Men and women","16-24","2004",29.6
"Weighted","Average","Men and women","16-24","2006",29.9
"Weighted","Average","Men and women","16-24","2008",23.1
"Weighted","Average","Men and women","16-24","2010",26.7
"Weighted","Average","Men and women","16-24","2012",26.7
"Weighted","Average","Men and women","16-24","2014",19.2
"Weighted","Average","Men and women","16-24","2016",25.4
"Weighted","Average","Men and women","16-24","2018",27.8
"Weighted","Average","Men and women","16-24","2020",20.5
"Weighted","Average","Men and women","16-24","2022",22.7
"Weighted","Average","Men and women","16-24","2024",32.9
"Weighted","Average","Men and women","25-34","1990",57.8
"Weighted","Average","Men and women","25-34","1992",54.0
"Weighted","Average","Men and women","25-34","1994",49.1
"Weighted","Average","Men and women","25-34","1996",48.3
"Weighted","Average","Men and women","25-34","1998",47.3
"Weighted","Average","Men and women","25-34","2000",41.0
"Weighted","Average","Men and women","25-34","2002",38.2
"Weighted","Average","Men and women","25-34","2004",35.1
"Weighted","Average","Men and women","25-34","2006",32.0
"Weighted","Average","Men and women","25-34","2008",25.7
"Weighted","Average","Men and women","25-34","2010",29.6
"Weighted","Average","Men and women","25-34","2012",26.0
"Weighted","Average","Men and women","25-34","2014",27.3
"Weighted","Average","Men and women","25-34","2016",29.0
"Weighted","Average","Men and women","25-34","2018",31.7
"Weighted","Average","Men and women","25-34","2020",22.3
"Weighted","Average","Men and women","25-34","2022",22.3
"Weighted","Average","Men and women","25-34","2024",25.7
"Weighted","Average","Men and women","35-44","1990",62.3
"Weighted","Average","Men and women","35-44","1992",61.5
"Weighted","Average","Men and women","35-44","1994",60.5
"Weighted","Average","Men and women","35-44","1996",59.1
"Weighted","Average","Men and women","35-44","1998",58.4
"Weighted","Average","Men and women","35-44","2000",57.7
"Weighted","Average","Men and women","35-44","2002",50.4
"Weighted","Average","Men and women","35-44","2004",49.1
"Weighted","Average","Men and women","35-44","2006",44.7
"Weighted","Average","Men and women","35-44","2008",42.3
"Weighted","Average","Men and women","35-44","2010",41.2
"Weighted","Average","Men and women","35-44","2012",37.6
"Weighted","Average","Men and women","35-44","2014",34.2
"Weighted","Average","Men and women","35-44","2016",31.0
"Weighted","Average","Men and women","35-44","2018",36.9
"Weighted","Average","Men and women","35-44","2020",31.5
"Weighted","Average","Men and women","35-44","2022",31.6
"Weighted","Average","Men and women","35-44","2024",29.7
"Weighted","Average","Men and women","45-54","1990",69.2
"Weighted","Average","Men and women","45-54","1992",71.8
"Weighted","Average","Men and women","45-54","1994",68.8
"Weighted","Average","Men and women","45-54","1996",62.3
"Weighted","Average","Men and women","45-54","1998",59.4
"Weighted","Average","Men and women","45-54","2000",61.5
"Weighted","Average","Men and women","45-54","2002",60.5
"Weighted","Average","Men and women","45-54","2004",58.2
"Weighted","Average","Men and women","45-54","2006",56.2
"Weighted","Average","Men and women","45-54","2008",53.3
"Weighted","Average","Men and women","45-54","2010",51.5
"Weighted","Average","Men and women","45-54","2012",46.3
"Weighted","Average","Men and women","45-54","2014",46.1
"Weighted","Average","Men and women","45-54","2016",46.1
"Weighted","Average","Men and women","45-54","2018",49.0
"Weighted","Average","Men and women","45-54","2020",37.5
"Weighted","Average","Men and women","45-54","2022",36.7
"Weighted","Average","Men and women","45-54","2024",36.7
"Weighted","Average","Men and women","55-64","1990",72.1
"Weighted","Average","Men and women","55-64","1992",74.6
"Weighted","Average","Men and women","55-64","1994",68.9
"Weighted","Average","Men and women","55-64","1996",64.6
"Weighted","Average","Men and women","55-64","1998",70.7
"Weighted","Average","Men and women","55-64","2000",67.4
"Weighted","Average","Men and women","55-64","2002",62.3
"Weighted","Average","Men and women","55-64","2004",60.9
"Weighted","Average","Men and women","55-64","2006",58.4
"Weighted","Average","Men and women","55-64","2008",58.5
"Weighted","Average","Men and women","55-64","2010",57.0
"Weighted","Average","Men and women","55-64","2012",51.9
"Weighted","Average","Men and women","55-64","2014",54.4
"Weighted","Average","Men and women","55-64","2016",51.9
"Weighted","Average","Men and women","55-64","2018",51.5
"Weighted","Average","Men and women","55-64","2020",48.2
"Weighted","Average","Men and women","55-64","2022",45.1
"Weighted","Average","Men and women","55-64","2024",46.7
"Weighted","Average","Men","All age groups (16-64)","1990",61.8
"Weighted","Average","Men","All age groups (16-64)","1992",56.2
"Weighted","Average","Men","All age groups (16-64)","1994",56.4
"Weighted","Average","Men","All age groups (16-64)","1996",51.5
"Weighted","Average","Men","All age groups (16-64)","1998",52.4
"Weighted","Average","Men","All age groups (16-64)","2000",50.5
"Weighted","Average","Men","All age groups (16-64)","2002",45.5
"Weighted","Average","Men","All age groups (16-64)","2004",45.1
"Weighted","Average","Men","All age groups (16-64)","2006",43.2
"Weighted","Average","Men","All age groups (16-64)","2008",40.9
"Weighted","Average","Men","All age groups (16-64)","2010",42.0
"Weighted","Average","Men","All age groups (16-64)","2012",40.3
"Weighted","Average","Men","All age groups (16-64)","2014",36.8
"Weighted","Average","Men","All age groups (16-64)","2016",39.1
"Weighted","Average","Men","All age groups (16-64)","2018",40.4
"Weighted","Average","Men","All age groups (16-64)","2020",34.2
"Weighted","Average","Men","All age groups (16-64)","2022",32.7
"Weighted","Average","Men","All age groups (16-64)","2024",32.9
"Weighted","Average","Men","16-24","1990",55.3
"Weighted","Average","Men","16-24","1992",32.4
"Weighted","Average","Men","16-24","1994",42.7
"Weighted","Average","Men","16-24","1996",30.2
"Weighted","Average","Men","16-24","1998",38.5
"Weighted","Average","Men","16-24","2000",24.6
"Weighted","Average","Men","16-24","2002",31.0
"Weighted","Average","Men","16-24","2004",26.8
"Weighted","Average","Men","16-24","2006",27.7
"Weighted","Average","Men","16-24","2008",24.2
"Weighted","Average","Men","16-24","2010",28.9
"Weighted","Average","Men","16-24","2012",26.1
"Weighted","Average","Men","16-24","2014",17.5
"Weighted","Average","Men","16-24","2016",22.4
"Weighted","Average","Men","16-24","2018",27.0
"Weighted","Average","Men","16-24","2020",15.1
"Weighted","Average","Men","16-24","2022",21.5
"Weighted","Average","Men","16-24","2024",32.5
"Weighted","Average","Men","25-34","1990",55.0
"Weighted","Average","Men","25-34","1992",47.0
"Weighted","Average","Men","25-34","1994",45.9
"Weighted","Average","Men","25-34","1996",48.3
"Weighted","Average","Men","25-34","1998",45.4
"Weighted","Average","Men","25-34","2000",34.9
"Weighted","Average","Men","25-34","2002",34.4
"Weighted","Average","Men","25-34","2004",38.0
"Weighted","Average","Men","25-34","2006",32.6
"Weighted","Average","Men","25-34","2008",25.9
