"Educational level","Economical activity","Year","Women given birth"
"Basic education or lower","Employed","1993",900
"Basic education or lower","Employed","1994",829
"Basic education or lower","Employed","1995",821
"Basic education or lower","Employed","1996",779
"Basic education or lower","Employed","1997",675
"Basic education or lower","Employed","1998",641
"Basic education or lower","Employed","1999",637
"Basic education or lower","Employed","2000",609
"Basic education or lower","Employed","2001",584
"Basic education or lower","Employed","2002",620
"Basic education or lower","Employed","2003",674
"Basic education or lower","Employed","2004",677
"Basic education or lower","Employed","2005",735
"Basic education or lower","Employed","2006",833
"Basic education or lower","Employed","2007",1011
"Basic education or lower","Employed","2008",1068
"Basic education or lower","Employed","2009",924
"Basic education or lower","Employed","2010",714
"Basic education or lower","Employed","2011",717
"Basic education or lower","Employed","2012",707
"Basic education or lower","Employed","2013",742
"Basic education or lower","Employed","2014",731
"Basic education or lower","Employed","2015",826
"Basic education or lower","Employed","2016",734
"Basic education or lower","Employed","2017",732
"Basic education or lower","Employed","2018",866
"Basic education or lower","Employed","2019",802
"Basic education or lower","Employed","2020",793
"Basic education or lower","Employed","2021",695
"Basic education or lower","Employed","2022",647
"Basic education or lower","Employed","2023",620
"Basic education or lower","Employed","2024",537
"Basic education or lower","Unemployed, not working","1992",8
"Basic education or lower","Unemployed, not working","1993",115
"Basic education or lower","Unemployed, not working","1994",257
"Basic education or lower","Unemployed, not working","1995",232
"Basic education or lower","Unemployed, not working","1996",274
"Basic education or lower","Unemployed, not working","1997",273
"Basic education or lower","Unemployed, not working","1998",212
"Basic education or lower","Unemployed, not working","1999",248
"Basic education or lower","Unemployed, not working","2000",247
"Basic education or lower","Unemployed, not working","2001",248
"Basic education or lower","Unemployed, not working","2002",243
"Basic education or lower","Unemployed, not working","2003",198
"Basic education or lower","Unemployed, not working","2004",214
"Basic education or lower","Unemployed, not working","2005",192
"Basic education or lower","Unemployed, not working","2006",163
"Basic education or lower","Unemployed, not working","2007",148
"Basic education or lower","Unemployed, not working","2008",135
"Basic education or lower","Unemployed, not working","2009",193
"Basic education or lower","Unemployed, not working","2010",291
"Basic education or lower","Unemployed, not working","2011",249
"Basic education or lower","Unemployed, not working","2012",204
"Basic education or lower","Unemployed, not working","2013",172
"Basic education or lower","Unemployed, not working","2014",140
"Basic education or lower","Unemployed, not working","2015",121
"Basic education or lower","Unemployed, not working","2016",113
"Basic education or lower","Unemployed, not working","2017",100
"Basic education or lower","Unemployed, not working","2018",111
"Basic education or lower","Unemployed, not working","2019",87
"Basic education or lower","Unemployed, not working","2020",103
"Basic education or lower","Unemployed, not working","2021",112
"Basic education or lower","Unemployed, not working","2022",77
"Basic education or lower","Unemployed, not working","2023",108
"Basic education or lower","Unemployed, not working","2024",88
"Basic education or lower","Conscript","1992",0
"Basic education or lower","Conscript","1993",0
"Basic education or lower","Conscript","1994",0
"Basic education or lower","Conscript","1995",0
"Basic education or lower","Conscript","1996",0
"Basic education or lower","Conscript","1997",0
"Basic education or lower","Conscript","1998",0
"Basic education or lower","Conscript","1999",0
"Basic education or lower","Conscript","2000",0
"Basic education or lower","Conscript","2001",0
"Basic education or lower","Conscript","2002",0
"Basic education or lower","Conscript","2003",0
"Basic education or lower","Conscript","2004",0
"Basic education or lower","Conscript","2005",0
"Basic education or lower","Conscript","2006",0
"Basic education or lower","Conscript","2007",0
"Basic education or lower","Conscript","2008",0
"Basic education or lower","Conscript","2009",0
"Basic education or lower","Conscript","2010",0
"Basic education or lower","Conscript","2011",0
"Basic education or lower","Conscript","2012",0
"Basic education or lower","Conscript","2013",0
"Basic education or lower","Conscript","2014",0
"Basic education or lower","Conscript","2015",0
"Basic education or lower","Conscript","2016",0
"Basic education or lower","Conscript","2017",0
"Basic education or lower","Conscript","2018",0
"Basic education or lower","Conscript","2019",0
"Basic education or lower","Conscript","2020",0
"Basic education or lower","Conscript","2021",1
"Basic education or lower","Conscript","2022",0
"Basic education or lower","Conscript","2023",2
"Basic education or lower","Conscript","2024",0
"Basic education or lower","In prison","1992",0
"Basic education or lower","In prison","1993",1
"Basic education or lower","In prison","1994",0
"Basic education or lower","In prison","1995",0
"Basic education or lower","In prison","1996",0
"Basic education or lower","In prison","1997",0
"Basic education or lower","In prison","1998",0
"Basic education or lower","In prison","1999",2
"Basic education or lower","In prison","2000",3
"Basic education or lower","In prison","2001",1
"Basic education or lower","In prison","2002",1
"Basic education or lower","In prison","2003",1
"Basic education or lower","In prison","2004",2
"Basic education or lower","In prison","2005",3
"Basic education or lower","In prison","2006",0
"Basic education or lower","In prison","2007",4
"Basic education or lower","In prison","2008",5
"Basic education or lower","In prison","2009",3
"Basic education or lower","In prison","2010",5
"Basic education or lower","In prison","2011",2
"Basic education or lower","In prison","2012",0
"Basic education or lower","In prison","2013",4
"Basic education or lower","In prison","2014",3
"Basic education or lower","In prison","2015",2
"Basic education or lower","In prison","2016",2
"Basic education or lower","In prison","2017",2
"Basic education or lower","In prison","2018",2
"Basic education or lower","In prison","2019",1
"Basic education or lower","In prison","2020",0
"Basic education or lower","In prison","2021",1
"Basic education or lower","In prison","2022",1
"Basic education or lower","In prison","2023",1
"Basic education or lower","In prison","2024",0
"Basic education or lower","Student, university student","1992",173
"Basic education or lower","Student, university student","1993",166
"Basic education or lower","Student, university student","1994",184
"Basic education or lower","Student, university student","1995",204
"Basic education or lower","Student, university student","1996",242
"Basic education or lower","Student, university student","1997",277
"Basic education or lower","Student, university student","1998",253
"Basic education or lower","Student, university student","1999",311
"Basic education or lower","Student, university student","2000",383
"Basic education or lower","Student, university student","2001",396
"Basic education or lower","Student, university student","2002",406
"Basic education or lower","Student, university student","2003",430
"Basic education or lower","Student, university student","2004",486
"Basic education or lower","Student, university student","2005",510
"Basic education or lower","Student, university student","2006",457
"Basic education or lower","Student, university student","2007",446
"Basic education or lower","Student, university student","2008",423
"Basic education or lower","Student, university student","2009",375
"Basic education or lower","Student, university student","2010",358
"Basic education or lower","Student, university student","2011",316
"Basic education or lower","Student, university student","2012",295
"Basic education or lower","Student, university student","2013",264
"Basic education or lower","Student, university student","2014",251
"Basic education or lower","Student, university student","2015",190
"Basic education or lower","Student, university student","2016",135
"Basic education or lower","Student, university student","2017",120
"Basic education or lower","Student, university student","2018",98
"Basic education or lower","Student, university student","2019",111
"Basic education or lower","Student, university student","2020",100
"Basic education or lower","Student, university student","2021",100
"Basic education or lower","Student, university student","2022",82
"Basic education or lower","Student, university student","2023",53
"Basic education or lower","Student, university student","2024",53
"Basic education or lower","Retired, person incapable of work","1992",11
"Basic education or lower","Retired, person incapable of work","1993",8
"Basic education or lower","Retired, person incapable of work","1994",14
"Basic education or lower","Retired, person incapable of work","1995",16
"Basic education or lower","Retired, person incapable of work","1996",17
"Basic education or lower","Retired, person incapable of work","1997",28
"Basic education or lower","Retired, person incapable of work","1998",30
"Basic education or lower","Retired, person incapable of work","1999",34
"Basic education or lower","Retired, person incapable of work","2000",26
"Basic education or lower","Retired, person incapable of work","2001",27
"Basic education or lower","Retired, person incapable of work","2002",29
"Basic education or lower","Retired, person incapable of work","2003",34
"Basic education or lower","Retired, person incapable of work","2004",30
"Basic education or lower","Retired, person incapable of work","2005",28
"Basic education or lower","Retired, person incapable of work","2006",27
"Basic education or lower","Retired, person incapable of work","2007",26
"Basic education or lower","Retired, person incapable of work","2008",31
"Basic education or lower","Retired, person incapable of work","2009",35
"Basic education or lower","Retired, person incapable of work","2010",40
"Basic education or lower","Retired, person incapable of work","2011",37
"Basic education or lower","Retired, person incapable of work","2012",43
"Basic education or lower","Retired, person incapable of work","2013",42
"Basic education or lower","Retired, person incapable of work","2014",43
"Basic education or lower","Retired, person incapable of work","2015",38
"Basic education or lower","Retired, person incapable of work","2016",36
"Basic education or lower","Retired, person incapable of work","2017",25
"Basic education or lower","Retired, person incapable of work","2018",33
"Basic education or lower","Retired, person incapable of work","2019",15
"Basic education or lower","Retired, person incapable of work","2020",31
"Basic education or lower","Retired, person incapable of work","2021",17
"Basic education or lower","Retired, person incapable of work","2022",19
"Basic education or lower","Retired, person incapable of work","2023",14
"Basic education or lower","Retired, person incapable of work","2024",15
"Basic education or lower","Staying at home","1992",525
"Basic education or lower","Staying at home","1993",748
"Basic education or lower","Staying at home","1994",758
"Basic education or lower","Staying at home","1995",778
"Basic education or lower","Staying at home","1996",799
"Basic education or lower","Staying at home","1997",818
"Basic education or lower","Staying at home","1998",842
"Basic education or lower","Staying at home","1999",907
"Basic education or lower","Staying at home","2000",937
"Basic education or lower","Staying at home","2001",924
"Basic education or lower","Staying at home","2002",916
"Basic education or lower","Staying at home","2003",884
"Basic education or lower","Staying at home","2004",895
"Basic education or lower","Staying at home","2005",880
"Basic education or lower","Staying at home","2006",865
"Basic education or lower","Staying at home","2007",894
"Basic education or lower","Staying at home","2008",842
"Basic education or lower","Staying at home","2009",807
"Basic education or lower","Staying at home","2010",820
"Basic education or lower","Staying at home","2011",807
"Basic education or lower","Staying at home","2012",737
"Basic education or lower","Staying at home","2013",717
"Basic education or lower","Staying at home","2014",624
"Basic education or lower","Staying at home","2015",557
"Basic education or lower","Staying at home","2016",495
"Basic education or lower","Staying at home","2017",474
"Basic education or lower","Staying at home","2018",474
"Basic education or lower","Staying at home","2019",450
"Basic education or lower","Staying at home","2020",421
"Basic education or lower","Staying at home","2021",370
"Basic education or lower","Staying at home","2022",360
"Basic education or lower","Staying at home","2023",340
"Basic education or lower","Staying at home","2024",302
"Basic education or lower","Economical activity unknown","1992",26
"Basic education or lower","Economical activity unknown","1993",3
"Basic education or lower","Economical activity unknown","1994",2
"Basic education or lower","Economical activity unknown","1995",6
"Basic education or lower","Economical activity unknown","1996",1
"Basic education or lower","Economical activity unknown","1997",3
"Basic education or lower","Economical activity unknown","1998",4
"Basic education or lower","Economical activity unknown","1999",5
"Basic education or lower","Economical activity unknown","2000",0
"Basic education or lower","Economical activity unknown","2001",0
"Basic education or lower","Economical activity unknown","2002",1
"Basic education or lower","Economical activity unknown","2003",1
"Basic education or lower","Economical activity unknown","2004",1
"Basic education or lower","Economical activity unknown","2005",2
"Basic education or lower","Economical activity unknown","2006",0
"Basic education or lower","Economical activity unknown","2007",0
"Basic education or lower","Economical activity unknown","2008",3
"Basic education or lower","Economical activity unknown","2009",1
"Basic education or lower","Economical activity unknown","2010",0
"Basic education or lower","Economical activity unknown","2011",0
"Basic education or lower","Economical activity unknown","2012",1
"Basic education or lower","Economical activity unknown","2013",0
"Basic education or lower","Economical activity unknown","2014",0
"Basic education or lower","Economical activity unknown","2015",0
"Basic education or lower","Economical activity unknown","2016",0
"Basic education or lower","Economical activity unknown","2017",1
"Basic education or lower","Economical activity unknown","2018",1
"Basic education or lower","Economical activity unknown","2019",1
"Basic education or lower","Economical activity unknown","2020",0
"Basic education or lower","Economical activity unknown","2021",0
"Basic education or lower","Economical activity unknown","2022",2
"Basic education or lower","Economical activity unknown","2023",1
"Basic education or lower","Economical activity unknown","2024",1
"Secondary education","Economical activity total","1992",7430
"Secondary education","Economical activity total","1993",6322
"Secondary education","Economical activity total","1994",5533
"Secondary education","Economical activity total","1995",5049
"Secondary education","Economical activity total","1996",4898
"Secondary education","Economical activity total","1997",4626
"Secondary education","Economical activity total","1998",4400
"Secondary education","Economical activity total","1999",4515
"Secondary education","Economical activity total","2000",4662
"Secondary education","Economical activity total","2001",4354
"Secondary education","Economical activity total","2002",4241
"Secondary education","Economical activity total","2003",4143
"Secondary education","Economical activity total","2004",4213
"Secondary education","Economical activity total","2005",4007
"Secondary education","Economical activity total","2006",3987
"Secondary education","Economical activity total","2007",4073
"Secondary education","Economical activity total","2008",3949
"Secondary education","Economical activity total","2009",3792
"Secondary education","Economical activity total","2010",3673
"Secondary education","Economical activity total","2011",3356
"Secondary education","Economical activity total","2012",3171
"Secondary education","Economical activity total","2013",3101
"Secondary education","Economical activity total","2014",2997
"Secondary education","Economical activity total","2015",3009
"Secondary education","Economical activity total","2016",2943
"Secondary education","Economical activity total","2017",2775
"Secondary education","Economical activity total","2018",2796
"Secondary education","Economical activity total","2019",2715
"Secondary education","Economical activity total","2020",2496
"Secondary education","Economical activity total","2021",2542
"Secondary education","Economical activity total","2022",2385
"Secondary education","Economical activity total","2023",2347
"Secondary education","Economical activity total","2024",1937
"Secondary education","Employed","1992",5520
"Secondary education","Employed","1993",3924
"Secondary education","Employed","1994",3246
"Secondary education","Employed","1995",3064
"Secondary education","Employed","1996",2973
"Secondary education","Employed","1997",2717
"Secondary education","Employed","1998",2522
"Secondary education","Employed","1999",2536
"Secondary education","Employed","2000",2557
"Secondary education","Employed","2001",2394
"Secondary education","Employed","2002",2361
"Secondary education","Employed","2003",2364
"Secondary education","Employed","2004",2451
"Secondary education","Employed","2005",2493
"Secondary education","Employed","2006",2580
"Secondary education","Employed","2007",2812
"Secondary education","Employed","2008",2777
"Secondary education","Employed","2009",2552
"Secondary education","Employed","2010",2248
"Secondary education","Employed","2011",2030
"Secondary education","Employed","2012",1992
"Secondary education","Employed","2013",2004
"Secondary education","Employed","2014",1974
"Secondary education","Employed","2015",2083
"Secondary education","Employed","2016",2110
"Secondary education","Employed","2017",2087
"Secondary education","Employed","2018",2098
"Secondary education","Employed","2019",2029
"Secondary education","Employed","2020",1845
"Secondary education","Employed","2021",1846
"Secondary education","Employed","2022",1715
"Secondary education","Employed","2023",1731
"Secondary education","Employed","2024",1405
"Secondary education","Unemployed, not working","1992",23
"Secondary education","Unemployed, not working","1993",247
"Secondary education","Unemployed, not working","1994",533
"Secondary education","Unemployed, not working","1995",451
"Secondary education","Unemployed, not working","1996",462
"Secondary education","Unemployed, not working","1997",405
"Secondary education","Unemployed, not working","1998",346
"Secondary education","Unemployed, not working","1999",434
"Secondary education","Unemployed, not working","2000",419
"Secondary education","Unemployed, not working","2001",400
"Secondary education","Unemployed, not working","2002",359
"Secondary education","Unemployed, not working","2003",297
"Secondary education","Unemployed, not working","2004",278
"Secondary education","Unemployed, not working","2005",222
"Secondary education","Unemployed, not working","2006",165
"Secondary education","Unemployed, not working","2007",170
"Secondary education","Unemployed, not working","2008",122
"Secondary education","Unemployed, not working","2009",210
"Secondary education","Unemployed, not working","2010",320
"Secondary education","Unemployed, not working","2011",247
"Secondary education","Unemployed, not working","2012",228
"Secondary education","Unemployed, not working","2013",208
"Secondary education","Unemployed, not working","2014",153
"Secondary education","Unemployed, not working","2015",161
"Secondary education","Unemployed, not working","2016",121
"Secondary education","Unemployed, not working","2017",108
"Secondary education","Unemployed, not working","2018",111
"Secondary education","Unemployed, not working","2019",120
"Secondary education","Unemployed, not working","2020",102
"Secondary education","Unemployed, not working","2021",173
"Secondary education","Unemployed, not working","2022",141
"Secondary education","Unemployed, not working","2023",137
"Secondary education","Unemployed, not working","2024",139
"Secondary education","Conscript","1992",1
"Secondary education","Conscript","1993",0
"Secondary education","Conscript","1994",1
"Secondary education","Conscript","1995",0
"Secondary education","Conscript","1996",0
"Secondary education","Conscript","1997",0
"Secondary education","Conscript","1998",0
"Secondary education","Conscript","1999",0
