"Type of data","Self-estimated health","Sex","Education","Year","Self-estimated health"
"Weighted","Good or reasonably good","Men","Secondary education","1996",44.5
"Weighted","Good or reasonably good","Men","Secondary education","1998",43.7
"Weighted","Good or reasonably good","Men","Secondary education","2000",40.3
"Weighted","Good or reasonably good","Men","Secondary education","2002",43.1
"Weighted","Good or reasonably good","Men","Secondary education","2004",43.3
"Weighted","Good or reasonably good","Men","Secondary education","2006",44.3
"Weighted","Good or reasonably good","Men","Secondary education","2008",49.3
"Weighted","Good or reasonably good","Men","Secondary education","2010",45.0
"Weighted","Good or reasonably good","Men","Secondary education","2012",49.2
"Weighted","Good or reasonably good","Men","Secondary education","2014",50.3
"Weighted","Good or reasonably good","Men","Secondary education","2016",54.3
"Weighted","Good or reasonably good","Men","Secondary education","2018",50.1
"Weighted","Good or reasonably good","Men","Secondary education","2020",52.8
"Weighted","Good or reasonably good","Men","Secondary education","2022",61.7
"Weighted","Good or reasonably good","Men","Secondary education","2024",51.4
"Weighted","Good or reasonably good","Men","Secondary-vocational education","1990",29.9
"Weighted","Good or reasonably good","Men","Secondary-vocational education","1992",40.5
"Weighted","Good or reasonably good","Men","Secondary-vocational education","1994",35.8
"Weighted","Good or reasonably good","Men","Secondary-vocational education","1996",39.4
"Weighted","Good or reasonably good","Men","Secondary-vocational education","1998",37.8
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2000",37.4
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2002",49.5
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2004",44.2
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2006",41.4
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2008",44.9
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2010",44.4
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2012",43.4
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2014",45.8
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2016",44.7
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2018",41.2
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2020",45.6
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2022",48.8
"Weighted","Good or reasonably good","Men","Secondary-vocational education","2024",60.6
"Weighted","Good or reasonably good","Men","Basic or lower education","1990",14.9
"Weighted","Good or reasonably good","Men","Basic or lower education","1992",27.2
"Weighted","Good or reasonably good","Men","Basic or lower education","1994",34.1
"Weighted","Good or reasonably good","Men","Basic or lower education","1996",26.7
"Weighted","Good or reasonably good","Men","Basic or lower education","1998",32.3
"Weighted","Good or reasonably good","Men","Basic or lower education","2000",39.7
"Weighted","Good or reasonably good","Men","Basic or lower education","2002",35.2
"Weighted","Good or reasonably good","Men","Basic or lower education","2004",36.8
"Weighted","Good or reasonably good","Men","Basic or lower education","2006",40.7
"Weighted","Good or reasonably good","Men","Basic or lower education","2008",45.0
"Weighted","Good or reasonably good","Men","Basic or lower education","2010",39.8
"Weighted","Good or reasonably good","Men","Basic or lower education","2012",44.2
"Weighted","Good or reasonably good","Men","Basic or lower education","2014",43.2
"Weighted","Good or reasonably good","Men","Basic or lower education","2016",41.7
"Weighted","Good or reasonably good","Men","Basic or lower education","2018",45.3
"Weighted","Good or reasonably good","Men","Basic or lower education","2020",48.4
"Weighted","Good or reasonably good","Men","Basic or lower education","2022",50.1
"Weighted","Good or reasonably good","Men","Basic or lower education","2024",47.3
"Weighted","Good or reasonably good","Women","Higher education","1990",39.4
"Weighted","Good or reasonably good","Women","Higher education","1992",35.6
"Weighted","Good or reasonably good","Women","Higher education","1994",30.0
"Weighted","Good or reasonably good","Women","Higher education","1996",49.8
"Weighted","Good or reasonably good","Women","Higher education","1998",40.2
"Weighted","Good or reasonably good","Women","Higher education","2000",40.8
"Weighted","Good or reasonably good","Women","Higher education","2002",47.8
"Weighted","Good or reasonably good","Women","Higher education","2004",58.4
"Weighted","Good or reasonably good","Women","Higher education","2006",59.8
"Weighted","Good or reasonably good","Women","Higher education","2008",65.0
"Weighted","Good or reasonably good","Women","Higher education","2010",66.4
"Weighted","Good or reasonably good","Women","Higher education","2012",70.4
"Weighted","Good or reasonably good","Women","Higher education","2014",66.9
"Weighted","Good or reasonably good","Women","Higher education","2016",70.7
"Weighted","Good or reasonably good","Women","Higher education","2018",62.7
"Weighted","Good or reasonably good","Women","Higher education","2020",70.5
"Weighted","Good or reasonably good","Women","Higher education","2022",67.2
"Weighted","Good or reasonably good","Women","Higher education","2024",64.5
"Weighted","Good or reasonably good","Women","Secondary education","1990",33.9
"Weighted","Good or reasonably good","Women","Secondary education","1992",34.0
"Weighted","Good or reasonably good","Women","Secondary education","1994",36.1
"Weighted","Good or reasonably good","Women","Secondary education","1996",33.3
"Weighted","Good or reasonably good","Women","Secondary education","1998",39.3
"Weighted","Good or reasonably good","Women","Secondary education","2000",41.1
"Weighted","Good or reasonably good","Women","Secondary education","2002",38.4
"Weighted","Good or reasonably good","Women","Secondary education","2004",43.5
"Weighted","Good or reasonably good","Women","Secondary education","2006",45.6
"Weighted","Good or reasonably good","Women","Secondary education","2008",50.8
"Weighted","Good or reasonably good","Women","Secondary education","2010",48.8
"Weighted","Good or reasonably good","Women","Secondary education","2012",50.3
"Weighted","Good or reasonably good","Women","Secondary education","2014",52.6
"Weighted","Good or reasonably good","Women","Secondary education","2016",49.1
"Weighted","Good or reasonably good","Women","Secondary education","2018",48.9
"Weighted","Good or reasonably good","Women","Secondary education","2020",62.1
"Weighted","Good or reasonably good","Women","Secondary education","2022",57.1
"Weighted","Good or reasonably good","Women","Secondary education","2024",44.2
"Weighted","Good or reasonably good","Women","Secondary-vocational education","1990",21.9
"Weighted","Good or reasonably good","Women","Secondary-vocational education","1992",27.0
"Weighted","Good or reasonably good","Women","Secondary-vocational education","1994",35.2
"Weighted","Good or reasonably good","Women","Secondary-vocational education","1996",35.3
"Weighted","Good or reasonably good","Women","Secondary-vocational education","1998",34.0
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2000",36.3
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2002",40.0
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2004",38.9
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2006",43.1
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2008",46.9
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2010",40.5
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2012",47.6
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2014",45.6
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2016",47.4
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2018",42.1
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2020",47.4
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2022",51.3
"Weighted","Good or reasonably good","Women","Secondary-vocational education","2024",51.5
"Weighted","Good or reasonably good","Women","Basic or lower education","1990",12.4
"Weighted","Good or reasonably good","Women","Basic or lower education","1992",18.3
"Weighted","Good or reasonably good","Women","Basic or lower education","1994",13.9
"Weighted","Good or reasonably good","Women","Basic or lower education","1996",18.9
"Weighted","Good or reasonably good","Women","Basic or lower education","1998",19.1
"Weighted","Good or reasonably good","Women","Basic or lower education","2000",23.8
"Weighted","Good or reasonably good","Women","Basic or lower education","2002",29.7
"Weighted","Good or reasonably good","Women","Basic or lower education","2004",30.0
"Weighted","Good or reasonably good","Women","Basic or lower education","2006",35.5
"Weighted","Good or reasonably good","Women","Basic or lower education","2008",45.3
"Weighted","Good or reasonably good","Women","Basic or lower education","2010",44.9
"Weighted","Good or reasonably good","Women","Basic or lower education","2012",46.4
"Weighted","Good or reasonably good","Women","Basic or lower education","2014",47.1
"Weighted","Good or reasonably good","Women","Basic or lower education","2016",47.7
"Weighted","Good or reasonably good","Women","Basic or lower education","2018",42.9
"Weighted","Good or reasonably good","Women","Basic or lower education","2020",48.3
"Weighted","Good or reasonably good","Women","Basic or lower education","2022",49.4
"Weighted","Good or reasonably good","Women","Basic or lower education","2024",48.3
"Weighted","Average","Men and women","Higher education","1990",53.1
"Weighted","Average","Men and women","Higher education","1992",52.9
"Weighted","Average","Men and women","Higher education","1994",60.4
"Weighted","Average","Men and women","Higher education","1996",41.8
"Weighted","Average","Men and women","Higher education","1998",49.5
"Weighted","Average","Men and women","Higher education","2000",47.8
"Weighted","Average","Men and women","Higher education","2002",44.0
"Weighted","Average","Men and women","Higher education","2004",37.8
"Weighted","Average","Men and women","Higher education","2006",32.8
"Weighted","Average","Men and women","Higher education","2008",31.5
"Weighted","Average","Men and women","Higher education","2010",30.7
"Weighted","Average","Men and women","Higher education","2012",26.9
"Weighted","Average","Men and women","Higher education","2014",25.8
"Weighted","Average","Men and women","Higher education","2016",27.6
"Weighted","Average","Men and women","Higher education","2018",33.0
"Weighted","Average","Men and women","Higher education","2020",25.4
"Weighted","Average","Men and women","Higher education","2022",27.5
"Weighted","Average","Men and women","Higher education","2024",29.6
"Weighted","Average","Men and women","Secondary education","1990",56.6
"Weighted","Average","Men and women","Secondary education","1992",58.9
"Weighted","Average","Men and women","Secondary education","1994",51.3
"Weighted","Average","Men and women","Secondary education","1996",51.1
"Weighted","Average","Men and women","Secondary education","1998",51.1
"Weighted","Average","Men and women","Secondary education","2000",49.0
"Weighted","Average","Men and women","Secondary education","2002",48.4
"Weighted","Average","Men and women","Secondary education","2004",46.2
"Weighted","Average","Men and women","Secondary education","2006",46.5
"Weighted","Average","Men and women","Secondary education","2008",40.6
"Weighted","Average","Men and women","Secondary education","2010",42.4
"Weighted","Average","Men and women","Secondary education","2012",40.0
"Weighted","Average","Men and women","Secondary education","2014",38.1
"Weighted","Average","Men and women","Secondary education","2016",40.2
"Weighted","Average","Men and women","Secondary education","2018",42.4
"Weighted","Average","Men and women","Secondary education","2020",32.0
"Weighted","Average","Men and women","Secondary education","2022",31.0
"Weighted","Average","Men and women","Secondary education","2024",40.0
"Weighted","Average","Men and women","Secondary-vocational education","1990",66.5
"Weighted","Average","Men and women","Secondary-vocational education","1992",59.3
"Weighted","Average","Men and women","Secondary-vocational education","1994",58.6
"Weighted","Average","Men and women","Secondary-vocational education","1996",56.2
"Weighted","Average","Men and women","Secondary-vocational education","1998",56.0
"Weighted","Average","Men and women","Secondary-vocational education","2000",53.7
"Weighted","Average","Men and women","Secondary-vocational education","2002",46.9
"Weighted","Average","Men and women","Secondary-vocational education","2004",49.0
"Weighted","Average","Men and women","Secondary-vocational education","2006",48.1
"Weighted","Average","Men and women","Secondary-vocational education","2008",44.8
"Weighted","Average","Men and women","Secondary-vocational education","2010",46.5
"Weighted","Average","Men and women","Secondary-vocational education","2012",43.8
"Weighted","Average","Men and women","Secondary-vocational education","2014",43.2
"Weighted","Average","Men and women","Secondary-vocational education","2016",41.4
"Weighted","Average","Men and women","Secondary-vocational education","2018",47.1
"Weighted","Average","Men and women","Secondary-vocational education","2020",42.1
"Weighted","Average","Men and women","Secondary-vocational education","2022",38.1
"Weighted","Average","Men and women","Secondary-vocational education","2024",32.7
"Weighted","Average","Men and women","Basic or lower education","1990",67.7
"Weighted","Average","Men and women","Basic or lower education","1992",64.1
"Weighted","Average","Men and women","Basic or lower education","1994",62.3
"Weighted","Average","Men and women","Basic or lower education","1996",61.5
"Weighted","Average","Men and women","Basic or lower education","1998",58.7
"Weighted","Average","Men and women","Basic or lower education","2000",53.6
"Weighted","Average","Men and women","Basic or lower education","2002",53.9
"Weighted","Average","Men and women","Basic or lower education","2004",48.3
"Weighted","Average","Men and women","Basic or lower education","2006",44.6
"Weighted","Average","Men and women","Basic or lower education","2008",42.3
"Weighted","Average","Men and women","Basic or lower education","2010",43.7
"Weighted","Average","Men and women","Basic or lower education","2012",40.4
"Weighted","Average","Men and women","Basic or lower education","2014",43.5
"Weighted","Average","Men and women","Basic or lower education","2016",43.0
"Weighted","Average","Men and women","Basic or lower education","2018",41.4
"Weighted","Average","Men and women","Basic or lower education","2020",34.9
"Weighted","Average","Men and women","Basic or lower education","2022",38.8
"Weighted","Average","Men and women","Basic or lower education","2024",42.4
"Weighted","Average","Men","Higher education","1990",47.9
"Weighted","Average","Men","Higher education","1992",47.9
"Weighted","Average","Men","Higher education","1994",60.1
"Weighted","Average","Men","Higher education","1996",42.8
"Weighted","Average","Men","Higher education","1998",46.7
"Weighted","Average","Men","Higher education","2000",42.6
"Weighted","Average","Men","Higher education","2002",38.3
"Weighted","Average","Men","Higher education","2004",39.8
"Weighted","Average","Men","Higher education","2006",29.3
"Weighted","Average","Men","Higher education","2008",30.4
"Weighted","Average","Men","Higher education","2010",35.3
"Weighted","Average","Men","Higher education","2012",30.7
"Weighted","Average","Men","Higher education","2014",23.0
"Weighted","Average","Men","Higher education","2016",29.2
"Weighted","Average","Men","Higher education","2018",34.9
"Weighted","Average","Men","Higher education","2020",24.8
"Weighted","Average","Men","Higher education","2022",27.0
"Weighted","Average","Men","Higher education","2024",28.9
"Weighted","Average","Men","Secondary education","1990",62.4
"Weighted","Average","Men","Secondary education","1992",59.0
"Weighted","Average","Men","Secondary education","1994",50.4
"Weighted","Average","Men","Secondary education","1996",46.1
"Weighted","Average","Men","Secondary education","1998",48.9
"Weighted","Average","Men","Secondary education","2000",47.3
"Weighted","Average","Men","Secondary education","2002",49.0
"Weighted","Average","Men","Secondary education","2004",46.2
"Weighted","Average","Men","Secondary education","2006",46.9
"Weighted","Average","Men","Secondary education","2008",41.8
"Weighted","Average","Men","Secondary education","2010",43.3
"Weighted","Average","Men","Secondary education","2012",40.0
"Weighted","Average","Men","Secondary education","2014",39.2
"Weighted","Average","Men","Secondary education","2016",38.0
"Weighted","Average","Men","Secondary education","2018",40.6
"Weighted","Average","Men","Secondary education","2020",37.6
"Weighted","Average","Men","Secondary education","2022",29.3
"Weighted","Average","Men","Secondary education","2024",37.9
"Weighted","Average","Men","Secondary-vocational education","1990",64.6
"Weighted","Average","Men","Secondary-vocational education","1992",53.9
"Weighted","Average","Men","Secondary-vocational education","1994",59.3
"Weighted","Average","Men","Secondary-vocational education","1996",54.0
"Weighted","Average","Men","Secondary-vocational education","1998",53.1
"Weighted","Average","Men","Secondary-vocational education","2000",58.1
"Weighted","Average","Men","Secondary-vocational education","2002",40.9
"Weighted","Average","Men","Secondary-vocational education","2004",46.8
"Weighted","Average","Men","Secondary-vocational education","2006",48.2
"Weighted","Average","Men","Secondary-vocational education","2008",45.5
"Weighted","Average","Men","Secondary-vocational education","2010",43.7
"Weighted","Average","Men","Secondary-vocational education","2012",45.4
"Weighted","Average","Men","Secondary-vocational education","2014",42.4
"Weighted","Average","Men","Secondary-vocational education","2016",43.7
"Weighted","Average","Men","Secondary-vocational education","2018",46.4
"Weighted","Average","Men","Secondary-vocational education","2020",42.0
"Weighted","Average","Men","Secondary-vocational education","2022",39.6
"Weighted","Average","Men","Secondary-vocational education","2024",28.5
"Weighted","Average","Men","Basic or lower education","1990",67.2
"Weighted","Average","Men","Basic or lower education","1992",63.5
"Weighted","Average","Men","Basic or lower education","1994",56.6
"Weighted","Average","Men","Basic or lower education","1996",59.4
"Weighted","Average","Men","Basic or lower education","1998",57.0
"Weighted","Average","Men","Basic or lower education","2000",47.9
"Weighted","Average","Men","Basic or lower education","2002",51.1
"Weighted","Average","Men","Basic or lower education","2004",44.3
"Weighted","Average","Men","Basic or lower education","2006",43.2
"Weighted","Average","Men","Basic or lower education","2008",41.7
"Weighted","Average","Men","Basic or lower education","2010",44.3
"Weighted","Average","Men","Basic or lower education","2012",41.8
"Weighted","Average","Men","Basic or lower education","2014",43.1
"Weighted","Average","Men","Basic or lower education","2016",45.9
"Weighted","Average","Men","Basic or lower education","2018",40.5
"Weighted","Average","Men","Basic or lower education","2020",34.1
"Weighted","Average","Men","Basic or lower education","2022",38.7
"Weighted","Average","Men","Basic or lower education","2024",41.4
"Weighted","Average","Women","Higher education","1990",57.1
"Weighted","Average","Women","Higher education","1992",57.4
"Weighted","Average","Women","Higher education","1994",60.6
"Weighted","Average","Women","Higher education","1996",41.0
"Weighted","Average","Women","Higher education","1998",51.0
"Weighted","Average","Women","Higher education","2000",51.4
"Weighted","Average","Women","Higher education","2002",47.5
"Weighted","Average","Women","Higher education","2004",36.5
"Weighted","Average","Women","Higher education","2006",35.4
"Weighted","Average","Women","Higher education","2008",32.1
"Weighted","Average","Women","Higher education","2010",27.8
"Weighted","Average","Women","Higher education","2012",24.7
"Weighted","Average","Women","Higher education","2014",27.7
"Weighted","Average","Women","Higher education","2016",26.6
"Weighted","Average","Women","Higher education","2018",31.6
"Weighted","Average","Women","Higher education","2020",25.8
"Weighted","Average","Women","Higher education","2022",27.9
"Weighted","Average","Women","Higher education","2024",30.1
"Weighted","Average","Women","Secondary education","1990",51.4
"Weighted","Average","Women","Secondary education","1992",58.7
"Weighted","Average","Women","Secondary education","1994",52.2
"Weighted","Average","Women","Secondary education","1996",55.6
"Weighted","Average","Women","Secondary education","1998",53.2
"Weighted","Average","Women","Secondary education","2000",50.5
"Weighted","Average","Women","Secondary education","2002",47.8
"Weighted","Average","Women","Secondary education","2004",46.2
"Weighted","Average","Women","Secondary education","2006",46.1
"Weighted","Average","Women","Secondary education","2008",39.6
"Weighted","Average","Women","Secondary education","2010",41.6
"Weighted","Average","Women","Secondary education","2012",39.9
"Weighted","Average","Women","Secondary education","2014",36.8
"Weighted","Average","Women","Secondary education","2016",42.7
"Weighted","Average","Women","Secondary education","2018",44.4
"Weighted","Average","Women","Secondary education","2020",25.7
"Weighted","Average","Women","Secondary education","2022",33.3
"Weighted","Average","Women","Secondary education","2024",42.6
"Weighted","Average","Women","Secondary-vocational education","1990",68.1
"Weighted","Average","Women","Secondary-vocational education","1992",64.8
"Weighted","Average","Women","Secondary-vocational education","1994",58.0
"Weighted","Average","Women","Secondary-vocational education","1996",57.9
"Weighted","Average","Women","Secondary-vocational education","1998",58.7
"Weighted","Average","Women","Secondary-vocational education","2000",49.8
"Weighted","Average","Women","Secondary-vocational education","2002",52.0
"Weighted","Average","Women","Secondary-vocational education","2004",51.0
"Weighted","Average","Women","Secondary-vocational education","2006",48.0
"Weighted","Average","Women","Secondary-vocational education","2008",44.2
"Weighted","Average","Women","Secondary-vocational education","2010",49.3
"Weighted","Average","Women","Secondary-vocational education","2012",42.0
"Weighted","Average","Women","Secondary-vocational education","2014",44.1
"Weighted","Average","Women","Secondary-vocational education","2016",39.0
"Weighted","Average","Women","Secondary-vocational education","2018",47.9
"Weighted","Average","Women","Secondary-vocational education","2020",42.1
"Weighted","Average","Women","Secondary-vocational education","2022",36.4
"Weighted","Average","Women","Secondary-vocational education","2024",37.5
"Weighted","Average","Women","Basic or lower education","1990",68.3
"Weighted","Average","Women","Basic or lower education","1992",64.8
"Weighted","Average","Women","Basic or lower education","1994",68.6
"Weighted","Average","Women","Basic or lower education","1996",63.9
"Weighted","Average","Women","Basic or lower education","1998",61.0
"Weighted","Average","Women","Basic or lower education","2000",63.3
"Weighted","Average","Women","Basic or lower education","2002",58.3
"Weighted","Average","Women","Basic or lower education","2004",53.6
"Weighted","Average","Women","Basic or lower education","2006",46.6
"Weighted","Average","Women","Basic or lower education","2008",43.2
"Weighted","Average","Women","Basic or lower education","2010",42.8
"Weighted","Average","Women","Basic or lower education","2012",38.1
"Weighted","Average","Women","Basic or lower education","2014",44.1
"Weighted","Average","Women","Basic or lower education","2016",38.6
"Weighted","Average","Women","Basic or lower education","2018",42.7
"Weighted","Average","Women","Basic or lower education","2020",36.1
"Weighted","Average","Women","Basic or lower education","2022",39.1
"Weighted","Average","Women","Basic or lower education","2024",43.7
"Weighted","Poor or rather poor","Men and women","Higher education","1990",4.5
"Weighted","Poor or rather poor","Men and women","Higher education","1992",5.6
"Weighted","Poor or rather poor","Men and women","Higher education","1994",10.0
"Weighted","Poor or rather poor","Men and women","Higher education","1996",7.4
"Weighted","Poor or rather poor","Men and women","Higher education","1998",8.6
"Weighted","Poor or rather poor","Men and women","Higher education","2000",6.1
"Weighted","Poor or rather poor","Men and women","Higher education","2002",7.2
"Weighted","Poor or rather poor","Men and women","Higher education","2004",5.9
"Weighted","Poor or rather poor","Men and women","Higher education","2006",4.9
"Weighted","Poor or rather poor","Men and women","Higher education","2008",4.0
"Weighted","Poor or rather poor","Men and women","Higher education","2010",5.3
"Weighted","Poor or rather poor","Men and women","Higher education","2012",5.9
"Weighted","Poor or rather poor","Men and women","Higher education","2014",5.3
"Weighted","Poor or rather poor","Men and women","Higher education","2016",3.6
"Weighted","Poor or rather poor","Men and women","Higher education","2018",5.7
"Weighted","Poor or rather poor","Men and women","Higher education","2020",3.4
"Weighted","Poor or rather poor","Men and women","Higher education","2022",5.0
"Weighted","Poor or rather poor","Men and women","Higher education","2024",5.5
"Weighted","Poor or rather poor","Men and women","Secondary education","1990",9.7
"Weighted","Poor or rather poor","Men and women","Secondary education","1992",6.5
"Weighted","Poor or rather poor","Men and women","Secondary education","1994",7.8
"Weighted","Poor or rather poor","Men and women","Secondary education","1996",10.3
"Weighted","Poor or rather poor","Men and women","Secondary education","1998",7.4
"Weighted","Poor or rather poor","Men and women","Secondary education","2000",10.2
"Weighted","Poor or rather poor","Men and women","Secondary education","2002",11.0
"Weighted","Poor or rather poor","Men and women","Secondary education","2004",10.4
"Weighted","Poor or rather poor","Men and women","Secondary education","2006",8.5
"Weighted","Poor or rather poor","Men and women","Secondary education","2008",9.3
"Weighted","Poor or rather poor","Men and women","Secondary education","2010",10.6
"Weighted","Poor or rather poor","Men and women","Secondary education","2012",10.3
"Weighted","Poor or rather poor","Men and women","Secondary education","2014",10.5
