"Diagnosis (ICD-10)","Sex","Age group","Year","Incidence of psychiatric disorders"
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2018",213
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2019",254
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2020",165
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2021",181
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2022",177
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2023",177
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2024",177
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","1998",2342
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","1999",2203
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2000",2386
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2001",2089
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2002",1929
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2003",1897
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2004",1980
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2005",1639
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2006",1759
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2007",1702
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2008",1700
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2009",1257
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2010",1558
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2011",1678
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2012",1830
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2013",2114
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2014",1804
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2015",1510
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2016",1483
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2017",1507
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2018",1282
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2019",1269
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2020",959
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2021",850
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2022",1119
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2023",1370
"Mental and behavioural disorders (F00-F98)","Men and women","5-9","2024",1569
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","1998",2017
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","1999",2068
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2000",2824
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2001",2678
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2002",2577
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2003",2618
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2004",2652
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2005",1920
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2006",1803
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2007",1652
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2008",1694
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2009",1305
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2010",1625
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2011",1427
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2012",1623
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2013",1812
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2014",1688
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2015",1250
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2016",1138
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2017",1266
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2018",1406
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2019",1452
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2020",1297
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2021",1376
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2022",1488
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2023",1688
"Mental and behavioural disorders (F00-F98)","Men and women","10-14","2024",1957
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","1998",1665
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","1999",1848
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2000",2697
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2001",2325
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2002",2140
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2003",2302
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2004",2446
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2005",2016
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2006",2322
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2007",2062
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2008",2092
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2009",1686
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2010",1522
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2011",1507
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2012",1464
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2013",1483
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2014",1492
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2015",1346
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2016",1453
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2017",1742
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2018",1562
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2019",1693
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2020",1611
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2021",2176
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2022",2834
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2023",2693
"Mental and behavioural disorders (F00-F98)","Men and women","15-19","2024",3195
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","1998",1621
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","1999",1589
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2000",2386
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2001",2172
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2002",1956
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2003",2528
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2004",2372
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2005",2284
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2006",2987
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2007",2829
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2008",3023
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2009",2770
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2010",2885
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2011",2807
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2012",2650
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2013",2504
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2014",2455
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2015",2183
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2016",2085
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2017",2006
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2018",1805
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2019",2082
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2020",1781
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2021",2696
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2022",3406
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2023",3046
"Mental and behavioural disorders (F00-F98)","Men and women","20-24","2024",3413
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","1998",3213
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","1999",3163
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2000",3854
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2001",4185
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2002",3866
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2003",4267
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2004",4394
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2005",4480
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2006",5311
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2007",5005
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2008",5265
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2009",4520
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2010",5243
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2011",5179
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2012",4829
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2013",4751
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2014",4326
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2015",4179
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2016",4099
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2017",4093
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2018",3822
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2019",4078
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2020",3684
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2021",4549
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2022",5846
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2023",5386
"Mental and behavioural disorders (F00-F98)","Men and women","25-34","2024",5915
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","1998",3636
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","1999",3977
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2000",4119
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2001",4096
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2002",3956
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2003",4014
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2004",3981
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2005",3906
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2006",4566
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2007",4464
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2008",4754
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2009",3820
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2010",4160
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2011",4428
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2012",4438
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2013",4441
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2014",3833
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2015",3667
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2016",3523
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2017",3494
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2018",3570
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2019",3951
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2020",3547
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2021",3973
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2022",5093
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2023",4828
"Mental and behavioural disorders (F00-F98)","Men and women","35-44","2024",5708
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","1998",2688
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","1999",3064
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2000",3365
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2001",3538
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2002",3680
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2003",3639
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2004",3755
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2005",3916
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2006",3981
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2007",3972
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2008",4317
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2009",3338
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2010",3736
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2011",3735
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2012",3842
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2013",3840
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2014",3361
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2015",3081
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2016",3181
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2017",3193
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2018",3147
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2019",3412
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2020",2899
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2021",3256
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2022",3712
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2023",3516
"Mental and behavioural disorders (F00-F98)","Men and women","45-54","2024",3930
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","1998",1616
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","1999",1812
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2000",1996
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2001",2250
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2002",2122
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2003",2211
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2004",2308
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2005",2289
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2006",2521
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2007",2714
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2008",2771
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2009",2203
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2010",2618
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2011",2824
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2012",2906
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2013",2852
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2014",2577
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2015",2398
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2016",2363
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2017",2591
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2018",2584
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2019",2660
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2020",2470
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2021",2897
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2022",2870
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2023",2499
"Mental and behavioural disorders (F00-F98)","Men and women","55-64","2024",2634
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","1998",1063
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","1999",1231
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2000",1272
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2001",1365
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2002",1468
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2003",1536
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2004",1601
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2005",1461
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2006",1540
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2007",1742
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2008",1786
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2009",1361
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2010",1446
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2011",1589
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2012",1515
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2013",1597
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2014",1289
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2015",1360
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2016",1326
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2017",1344
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2018",1385
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2019",1393
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2020",1281
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2021",1223
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2022",1224
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2023",1193
"Mental and behavioural disorders (F00-F98)","Men and women","65-74","2024",1129
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","1998",660
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","1999",666
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2000",599
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2001",831
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2002",994
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2003",1044
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2004",1201
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2005",1061
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2006",1085
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2007",1187
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2008",1329
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2009",1149
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2010",1181
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2011",1281
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2012",1247
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2013",1405
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2014",1388
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2015",1465
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2016",1482
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2017",1517
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2018",1498
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2019",1381
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2020",1350
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2021",1130
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2022",1095
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2023",965
"Mental and behavioural disorders (F00-F98)","Men and women","75 and older","2024",1046
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","1998",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","1999",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2000",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2001",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2002",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2003",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2004",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2005",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2006",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2007",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2008",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2009",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2010",..
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2011",1107
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2012",1004
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2013",1130
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2014",1078
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2015",1141
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2016",1150
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2017",1163
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2018",1173
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2019",1103
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2020",1026
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2021",882
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2022",825
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2023",755
"Mental and behavioural disorders (F00-F98)","Men and women","75-84","2024",798
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","1998",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","1999",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2000",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2001",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2002",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2003",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2004",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2005",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2006",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2007",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2008",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2009",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2010",..
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2011",174
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2012",243
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2013",275
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2014",310
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2015",324
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2016",332
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2017",354
"Mental and behavioural disorders (F00-F98)","Men and women","85 and older","2018",325
